dc_identifier_s,dc_title_s,dc_description_s,dc_creator_sm,dc_publisher_sm,dc_rights_s,dct_provenance_s,dct_references_s,layer_slug_s,layer_geom_type_s,layer_modified_dt,dc_format_s,dc_language_s,dc_type_s,dc_subject_sm,dct_isPartOf_sm,dct_issued_s,dct_temporal_sm,dct_spatial_sm,solr_geom,centroid_s,solr_year_i
3D00163C-D00D-4847-AEF2-A249827CDF39,"Addresses Green County, Wisconsin 2016","This point data layer represents addresses for Green County, Wisconsin in 2016. It is a feature class within the geodatabase, Green_Addresses_2016.gdb.[To be used by Green County Sheriff's Dispatcher's through their third party E911 dispatching and reporting system created by Spillman Technologies. Data created in conjunction with State E911 update grant. Features were derived from a variety of sources including deeds, descriptions, subdivision maps, certified survey maps, easements, and right of way maps. These source materials were of varying scale and date. This coverage provides a representation of the geometry and topology of tax parcels within the County, and is suitable as a reference layer within the County's GIS.]",[u'Green County'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Green_Addresses_2016.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/3D00163C-D00D-4847-AEF2-A249827CDF39/formatters/xml""}",3D00163C-D00D-4847-AEF2-A249827CDF39,Point,2018-01-04T22:38:18Z,Geodatabase,English,Dataset,"[u'Location', u'Street addresses']",Wisconsin Counties Open Data,6/1/16,2016,"[u'Green County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-89.839647, -89.365481, 42.857444, 42.500427)","42.6789355,-89.602564",2016
9B1F4ECE-7727-4456-8640-FE324EF4B63B,"Parks Milwaukee County, Wisconsin 2010","This polygon data layer represents parks for Milwaukee County, Wisconsin in 2010. It is a feature class within the geodatabase Milwaukee_Parks_2010.gdb. The features included in this geodatabase are 'PRK_MCAMLIS_TOPO', 'PRK_MCAMLIS_TOPO_PT', and 'PRK_MCAMLIS_TOPO_TXT'.",[u'Milwaukee County Land Information Office'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Milwaukee_Parks_2010.zip"",""http://schema.org/url"":""http://county.milwaukee.gov/mclio/geodata.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/9B1F4ECE-7727-4456-8640-FE324EF4B63B/formatters/xml""}",9B1F4ECE-7727-4456-8640-FE324EF4B63B,Polygon,2018-01-04T22:38:31Z,Geodatabase,English,Dataset,"[u'Society', u'Parks', u'Recreation', u'Open spaces']",Wisconsin Counties Open Data,1/1/10,2010,"[u'Milwaukee County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-88.075698, -87.824699, 43.199102, 42.839106)","43.019104,-87.9501985",2010
E4816D80-898A-49FB-81CA-C7F4D7103802,"Zoning Oconto County, Wisconsin, 2017","This polygon data layer represents zoning for Oconto County, Wisconsin in 2017. It is a feature class within the geodatabase, Oconto_Zoning_2017.gdb.",[u'Oconto County Land Information Department'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Oconto_Zoning_2017.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/E4816D80-898A-49FB-81CA-C7F4D7103802/formatters/xml""}",E4816D80-898A-49FB-81CA-C7F4D7103802,Polygon,2018-01-04T22:37:35Z,Geodatabase,English,Dataset,"[u'Planning and Cadastral', u'Zoning']",Wisconsin Counties Open Data,3/24/17,2017,"[u'Oconto County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-88.694044, -87.745406, 45.380166, 44.664178)","45.022172,-88.219725",2017
7AA48D8B-5CA5-4F2F-9C91-F2440B55CBFC,"Hydro (Polygon) Shawano County, Wisconsin,  YE2016","This polygon data layer represents hydrography for Shawano County, Wisconsin at year-end 2016. It is a feature class within the geodatabase, Shawano_HydroPoly_YE2016.gdb. [Countywide polygon dataset of surface waterbodies.]",[u'Shawano County Land Information Office'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Shawano_HydroPoly_YE2016.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/7AA48D8B-5CA5-4F2F-9C91-F2440B55CBFC/formatters/xml""}",7AA48D8B-5CA5-4F2F-9C91-F2440B55CBFC,Polygon,2018-01-04T22:39:42Z,Geodatabase,English,Dataset,"[u'Inland Waters', u'Hydrography']",Wisconsin Counties Open Data,3/23/17,2016,"[u'Shawano County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-89.229609, -88.231122, 45.030996, 44.584458)","44.807727,-88.7303655",2016
82da87be-8aee-447f-ab7c-d1ccb716d245,"Hydro (Line) Waupaca County, Wisconsin, 2014","This line data layer represents hydrography for Waupaca County, Wisconsin in 2014. It is a feature class within the geodatabase, Waupaca_HydroLine_2014.gdb. [The hydrography coverage was created to represent rivers, water bodies and other hydrographic phenomena in Waupaca County. Hydrologic features were derived from the May 1994 flight with a flight height of 10,000 feet. The hydrologic feature layer is available in a county-wide or individual layer for each township, city, or village. The layer is based on the Waupaca County Coordinate System (WCCS).]",[u'Waupaca County Land Information Office'],[u'Waupaca County Land Information Office'],Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Waupaca_HydroLine_2014.zip"",""http://schema.org/url"":""http://data.waupacacounty.opendata.arcgis.com/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/82da87be-8aee-447f-ab7c-d1ccb716d245/formatters/xml""}",82da87be-8aee-447f-ab7c-d1ccb716d245,Line,2018-01-04T22:37:41Z,Geodatabase,English,Dataset,"[u'Inland Waters', u'Hydrography']",Wisconsin Counties Open Data,1/1/14,2014,"[u'Waupaca County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-89.227721, -88.605183, 44.680973, 44.241888)","44.4614305,-88.916452",2014
051d0894-5cd8-4e92-a08a-25d4608434d3,"Parcels Shawano County, Wisconsin, 2017","This is the final deliverable for the Version 3 Statewide Parcel Map Database Project (V3). This feature class represents a comprehensive, spatially referenced collection of parcel geometries as recognized by local-level governments within the State of Wisconsin (the feature class is aggregated from county level and municipal-level data). See the V3 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: http://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and here: http://www.sco.wisc.edu/parcels/data/assets/V3/V3_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Change logand known issuescan be found here: http://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",[u'Wisconsin Department of Administration'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Shawano_Parcels_2017.zip"",""http://schema.org/url"":""http://www.sco.wisc.edu/parcels/data/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/051d0894-5cd8-4e92-a08a-25d4608434d3/formatters/xml""}",051d0894-5cd8-4e92-a08a-25d4608434d3,Polygon,2018-01-04T22:37:38Z,Geodatabase,English,Dataset,"[u'Planning and Cadastral', u'Land ownership', u'Real property']",Wisconsin Counties Open Data,7/31/17,2017,"[u'Shawano County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-89.229588, -88.231851, 45.030986, 44.584744)","44.807865,-88.7307195",2017
aa4b49e6-5e15-47df-a00d-bb67cf6e6c1f,"Recreation Polk County, Wisconsin, 2017","This point data layer represents recreation for Polk County, Wisconsin in 2017. It is a feature class within the geodatabase, 'Polk_Recreation_2017.gdb'. The features included in this geodatabase are 'POLK_BOATACCESS_2017' and 'POLK_RECREATION_2017'.",[u'Polk County Department of Land Information'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Polk_Recreation_2017.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/aa4b49e6-5e15-47df-a00d-bb67cf6e6c1f/formatters/xml""}",aa4b49e6-5e15-47df-a00d-bb67cf6e6c1f,Point,2018-01-04T22:39:07Z,Geodatabase,English,Dataset,"[u'Society', u'Recreation']",Wisconsin Counties Open Data,3/20/17,2017,"[u'Polk County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-92.885012, -92.153661, 45.716665, 45.209428)","45.4630465,-92.5193365",2017
651D2B0F-654F-4A0E-86FE-88F3729EA8DF,"Addresses Kenosha County, Wisconsin, 2017","This point data layer represents addresses for Kenosha County, Wisconsin in 2017. It is a feature class within the geodatabase Kenosha_Addresses_2017.gdb.",[u'Kenosha County Planning and Development Department'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Kenosha_Addresses_2017.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/651D2B0F-654F-4A0E-86FE-88F3729EA8DF/formatters/xml""}",651D2B0F-654F-4A0E-86FE-88F3729EA8DF,Point,2018-01-04T22:37:34Z,Geodatabase,English,Dataset,"[u'Location', u'Street addresses']",Wisconsin Counties Open Data,5/18/17,2017,"[u'Kenosha County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-88.30858, -87.797637, 42.676189, 42.486243)","42.581216,-88.0531085",2017
B17B8E4F-26E7-4906-B6DE-A943108EA894,"Right of Way (ROW) Kewaunee County, Wisconsin, 2017","This line data layer represents right of ways for Kewaunee County, Wisconsin in 2017. It is a feature class within the geodatabase Kewaunee_ROW_2017.gdb.",[u'Kewaunee County Land Information Office'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Kewaunee_ROW_2017.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/B17B8E4F-26E7-4906-B6DE-A943108EA894/formatters/xml""}",B17B8E4F-26E7-4906-B6DE-A943108EA894,Line,2018-01-04T22:37:06Z,Geodatabase,English,Dataset,"[u'Transportation', u'Roads', u'Streets', u'Right of Way', u'ROW']",Wisconsin Counties Open Data,3/28/17,2017,"[u'Kewaunee County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-87.774447, -87.376468, 44.683298, 44.319692)","44.501495,-87.5754575",2017
19189BF1-D75B-4A6D-869E-2AD43B8CE6FD,"Land Use Calumet County, Wisconsin, 2015","This polygon data layer represents land use for Calumet County, Wisconsin in 2015. It is a feature class within the geodatabase, Calumet_LandUse_2015.gdb.[Land use is a very important aspect of a county, especially when it comes to planning for future and current projects. For Calumet County there are 10 broad categories that land use can fall within. Land use also falls under sub categories, which can be found in the reference booklet or the attribute table of this data. The 10 broad categories are as follows: Agriculture, Other Open Land, Water, Woodlands, Residential, Commercial, Industrial, Utility, Institutional, and Recreational. The full description on how these categories are assigned to a specific land use can be found in the reference booklet. ]",[u'Calumet County Land Information/GIS'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Calumet_LandUse_2015.zip"",""http://schema.org/url"":""http://calumetmaps.com/data.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/19189BF1-D75B-4A6D-869E-2AD43B8CE6FD/formatters/xml""}",19189BF1-D75B-4A6D-869E-2AD43B8CE6FD,Polygon,2018-01-04T22:39:34Z,Geodatabase,English,Dataset,"[u'Planning and Cadastral', u'Land Use', u'Planning']",Wisconsin Counties Open Data,4/7/17,2015,"[u'Calumet County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-88.404908, -88.039137, 44.244181, 43.891088)","44.0676345,-88.2220225",2015
79A0DB7F-3493-445E-9D79-D665948FCF76,"Hydro (Polygon) Wood County, Wisconsin 2016","This polygon data layer represents hydrography for Wood County, Wisconsin in 2016. It is a feature class within the geodatabase, Wood_HydroPoly_2016.gdb.[This shapefile includes all Simple Hydro Areas (SHAIDs) in the 1:24,000-scale Hydrography data model (Version 3). SHAIDS include hydrographic features only and do not contain islands or uplands. SHAIDs contain various descriptive attributes, including names and Water Body ID Codes (WBICs). The Wisconsin Department of Natural Resources (DNR) developed this statewide Hydrography geographic data layer from 1:24,000-scale sources. The 1:24K Hydrography database includes information about surface water features represented on the US Geological Survey's 1:24,000-scale topographic map series such as perennial and intermittent streams, lakes, and so on. A large portion of the DNR's Waterbody Identification Codes (WBICs) have been incorporated into the 24K Hydro layer, along with surface water names from the USGS Geographic Names Information System (GNIS) database. Wetlands delineations are NOT included in the 24K Hydro data layer. Following the initial release of the 24K Hydrography database in October of 2000, a series of data updates and enhancements have culminated in Version 3 of the 24K Hydro layer, which was completed in December 2003. Version 3 includes data enhancements and corrections.]",[u'Wood County Land Information Office'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Wood_HydroPoly_2016.zip"",""http://schema.org/url"":""http://www.co.wood.wi.us/Departments/PZ/LandRecords.aspx"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/79A0DB7F-3493-445E-9D79-D665948FCF76/formatters/xml""}",79A0DB7F-3493-445E-9D79-D665948FCF76,Polygon,2018-01-04T22:37:53Z,Geodatabase,English,Dataset,"[u'Inland Waters', u'Hydrography']",Wisconsin Counties Open Data,7/7/16,2016,"[u'Wood County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-91.182561, -89.120947, 45.121142, 43.635358)","44.37825,-90.151754",2016
3BA52512-25A9-4091-9800-C0D2B6DDA9FA,"Zoning Marathon County, Wisconsin 2016","This polygon data layer represents zoning for Marathon County, Wisconsin in 2016. It is a feature class within the geodatabase, Marathon_Zoning_2016.gdb. The features included in this geodatabase are 'AIRPORT_PROTECTION', 'COUNTY_GENERAL', FARMLAND_PRESERVATION', 'FLOODPLAIN', and 'SHORELAND'.","[u'Marathon County Conservation, Planning and                  Zoning']",,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Marathon_Zoning_2016.zip"",""http://schema.org/url"":""http://www.co.marathon.wi.us/Departments/ConservationPlanningZoning/GEOServices/GeographicInformationSystem%28GIS%29/GISData.aspx"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/3BA52512-25A9-4091-9800-C0D2B6DDA9FA/formatters/xml""}",3BA52512-25A9-4091-9800-C0D2B6DDA9FA,Polygon,2018-01-04T22:37:12Z,Geodatabase,English,Dataset,"[u'Planning and Cadastral', u'Zoning']",Wisconsin Counties Open Data,6/1/16,2016,"[u'Marathon County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-90.320398, -89.214133, 45.123283, 44.678111)","44.900697,-89.7672655",2016
57128AE1-17AC-4454-8F93-2B89089A4DD8,"Parks Dodge County, Wisconsin 2016","This polygon data layer represents parks for Dodge County, Wisconsin in 2016.",[u'Dodge County Land Information Office'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Dodge_Parks_2016.zip"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/57128AE1-17AC-4454-8F93-2B89089A4DD8/formatters/xml""}",57128AE1-17AC-4454-8F93-2B89089A4DD8,Polygon,2018-01-04T22:39:02Z,Shapefile,English,Dataset,"[u'Society', u'Parks', u'Recreation', u'Open spaces']",Wisconsin Counties Open Data,6/27/16,2016,"[u'Dodge County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-89.010266, -88.399797, 43.634172, 43.195059)","43.4146155,-88.7050315",2016
1e201a3e-53e5-4b22-8ac4-cb8ba36366f9,"Parcels Jefferson County, Wisconsin, 2017","This is the final deliverable for the Version 3 Statewide Parcel Map Database Project (V3). This feature class represents a comprehensive, spatially referenced collection of parcel geometries as recognized by local-level governments within the State of Wisconsin (the feature class is aggregated from county level and municipal-level data). See the V3 Project Homepage for more detail on the parameters for how data was prepared and submitted to this project: http://www.sco.wisc.edu/parcels/submission/.Schema documentation can be found within this feature class metadata and here: http://www.sco.wisc.edu/parcels/data/assets/V3/V3_Wisconsin_Statewide_Parcels_Schema_Documentation.pdf.Change logand known issuescan be found here: http://www.sco.wisc.edu/parcels/data/assets/Wisconsin_Statewide_Parcels_Change_Log.pdf.",[u'Wisconsin Department of Administration'],,Public,Wisconsin,"{""http://schema.org/downloadUrl"":""https://gisdata.wisc.edu/public/Jefferson_Parcels_2017.zip"",""http://schema.org/url"":""http://www.sco.wisc.edu/parcels/data/"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/1e201a3e-53e5-4b22-8ac4-cb8ba36366f9/formatters/xml""}",1e201a3e-53e5-4b22-8ac4-cb8ba36366f9,Polygon,2018-01-04T22:38:19Z,Geodatabase,English,Dataset,"[u'Planning and Cadastral', u'Land ownership', u'Real property']",Wisconsin Counties Open Data,7/31/17,2017,"[u'Jefferson County, Wisconsin, United States', u'Wisconsin, United States']","ENVELOPE(-89.016338, -88.533146, 43.201401, 42.839938)","43.0206695,-88.774742",2017
