"Dublin Core:Alternative Title","Dublin Core:Abstract","Dublin Core:Table Of Contents","Dublin Core:Date Available","Dublin Core:Date Created","Dublin Core:Date Accepted","Dublin Core:Date Copyrighted","Dublin Core:Date Submitted","Dublin Core:Date Issued","Dublin Core:Date Modified","Dublin Core:Date Valid","Dublin Core:Access Rights","Dublin Core:License","Dublin Core:Conforms To","Dublin Core:Has Format","Dublin Core:Has Part","Dublin Core:Has Version","Dublin Core:Is Format Of","Dublin Core:Is Part Of","Dublin Core:Is Referenced By","Dublin Core:Is Replaced By","Dublin Core:Is Required By","Dublin Core:Is Version Of","Dublin Core:References","Dublin Core:Replaces","Dublin Core:Requires","Dublin Core:Extent","Dublin Core:Medium","Dublin Core:Bibliographic Citation","Dublin Core:Spatial Coverage","Dublin Core:Temporal Coverage","Dublin Core:Accrual Method","Dublin Core:Accrual Periodicity","Dublin Core:Accrual Policy","Dublin Core:Audience","Dublin Core:Audience Education Level","Dublin Core:Mediator","Dublin Core:Instructional Method","Dublin Core:Provenance","Dublin Core:Rights Holder","Dublin Core:Title","Dublin Core:Subject","Dublin Core:Description","Dublin Core:Creator","Dublin Core:Source","Dublin Core:Publisher","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Rights","Dublin Core:Relation","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Coverage","Item Type Metadata:Text","Item Type Metadata:Interviewer","Item Type Metadata:Interviewee","Item Type Metadata:Location","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:Duration","Item Type Metadata:Compression","Item Type Metadata:Producer","Item Type Metadata:Director","Item Type Metadata:Bit Rate/Frequency","Item Type Metadata:Time Summary","Item Type Metadata:Email Body","Item Type Metadata:Subject Line","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:CC","Item Type Metadata:BCC","Item Type Metadata:Number of Attachments","Item Type Metadata:Standards","Item Type Metadata:Objectives","Item Type Metadata:Materials","Item Type Metadata:Lesson Plan Text","Item Type Metadata:URL","Item Type Metadata:Event Type","Item Type Metadata:Participants","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Occupation","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography","GeoBlacklight:Layer ID",GeoBlacklight:UUID,GeoBlacklight:Slug,"GeoBlacklight:Geometry Type","GeoBlacklight:Layer Modified Date","GeoBlacklight:Bounding Box",GeoBlacklight:Centroid,"GeoBlacklight:Solr Geometry","GeoBlacklight:Apache Solr Bounding Box","GeoBlacklight:Solr Year","GeoBlacklight:Information Page",GeoBlacklight:Thumbnail,"GeoBlacklight:Download File","GeoBlacklight:Esri Rest Service","GeoBlacklight:Web Map Service","GeoBlacklight:Open Index Map",tags,file,itemType,collection,public,featured
"Philadelphia Health - Farmers Markets",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyHealth_Farmers_Markets.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Health - Farmers Markets: Philadephia, Pennsylvania",Health,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,aebdc0ec-6f45-432c-a146-ed355bf3c290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aebdc0ec-6f45-432c-a146-ed355bf3c290,,Vector,,"-74.998267,39.920627,-75.256278,40.12765","40.0241385,-75.1272725",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7033,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7033,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Water - GSI SMP Types",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWater_GSI_SMP_TYPES.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Water - GSI SMP Types: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,b038d309-2731-48f7-a628-57cdcacdd192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b038d309-2731-48f7-a628-57cdcacdd192,,Vector,,"-74.958641,39.877506,-75.255189,40.135377","40.0064415,-75.106915",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7116,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7116,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Water - Outfall",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWater_OUTFALLS.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Water - Outfall: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,24c04615-9c4d-4d29-8bb7-0d38bee48919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24c04615-9c4d-4d29-8bb7-0d38bee48919,,Vector,,"-74.955272,39.850576,-75.284006,40.143465","39.9970205,-75.119639",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7118,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7118,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Health - Air Monitoring Station",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyHealth_Air_Monitoring_Stations.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Health - Air Monitoring Station: Philadephia, Pennsylvania",Transportation,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,cb36ed5b-88de-42c2-8f23-3fb332c1e278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cb36ed5b-88de-42c2-8f23-3fb332c1e278,,Vector,,"-74.982971,39.879706,-75.243061,40.077164","39.978435,-75.113016",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7030,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7030,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Water - Inlet",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWater_INLETS.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Water - Inlet: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,705d6d96-de43-48f2-af43-3bfa4f52d88b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705d6d96-de43-48f2-af43-3bfa4f52d88b,,Vector,,"-74.957254,39.851418,-75.283384,40.143571","39.9974945,-75.120319",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7117,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7117,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Water - PWD Parcels",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWater_PWD_PARCELS.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Water - PWD Parcels: Philadephia, Pennsylvania","Planning and Cadastral",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,f07252cc-8883-4451-a52f-8e31d23a3780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f07252cc-8883-4451-a52f-8e31d23a3780,,Vector,,"-74.955763,39.8715137,-75.280303,40.1379918","40.00475275,-75.118033",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7119,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7119,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Water - Raingauges",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWater_RAINGAUGES.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Water - Raingauges: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,3c9fa226-1b3b-48df-91a8-4c3d8bb7efd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c9fa226-1b3b-48df-91a8-4c3d8bb7efd1,,Vector,,"-74.968916,39.883917,-75.325083,40.172751","40.028334,-75.1469995",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7120,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7120,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Watersheds - Combined Sewer Service Area",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWatersheds_Combined_Sewer_Service_Area.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Watersheds - Combined Sewer Service Area: Philadephia, Pennsylvania","Utilities and Communication",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,058ae084-12a5-4deb-9481-cdd2a20bce8c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,058ae084-12a5-4deb-9481-cdd2a20bce8c,,Vector,,"-74.955763,39.8715137,-75.280303,40.1379918","40.00475275,-75.118033",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7121,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7121,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Police - CCD POLICE",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyPolice_CCD_POLICE.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Police - CCD POLICE: Philadephia, Pennsylvania",Society,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,8e0cd466-0809-4445-a5df-4d3ea814f5a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e0cd466-0809-4445-a5df-4d3ea814f5a3,,Vector,,"-75.149926,39.944571,-75.17902,39.962596","39.9535835,-75.164473",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7060,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7060,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Watersheds - GSI Planning Districts",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWatersheds_GSI_Planning_Districts.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Watersheds - GSI Planning Districts: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,c9d85055-7a74-4564-82e3-8d4bb807c2a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c9d85055-7a74-4564-82e3-8d4bb807c2a7,,Vector,,"-75.003752,39.886286,-75.282188,40.08483","39.985558,-75.14297",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7123,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7123,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia OHCD - Choice Neighborhoods",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyOHCD_ChoiceNeighborhoods.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"OHCD - Choice Neighborhoods: Philadephia, Pennsylvania","Planning and Cadastral",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,d2c5f528-75b0-40d8-b6c0-4d8421dc50fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d2c5f528-75b0-40d8-b6c0-4d8421dc50fc,,Vector,,"-75.142247,39.958489,-75.203993,39.990519","39.974504,-75.17312",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7138,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7138,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Commerce - Business Services Market Areas",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyCommerce_Business_Services_Market_Areas.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Commerce - Business Services Market Areas: Philadephia, Pennsylvania",Economy,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,99aab84e-da2a-476e-b31e-11a8e4e3b922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99aab84e-da2a-476e-b31e-11a8e4e3b922,,Vector,,"-74.954039,39.861288,-75.284167,40.143797","40.0025425,-75.119103",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7137,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7137,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Health - LNA HP Food Access",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyHealth_LNA_HP_Food_Access.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Health - LNA HP Food Access: Philadephia, Pennsylvania",Health,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,52ff2252-0f17-4b46-bbcb-e718e3b5ad02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52ff2252-0f17-4b46-bbcb-e718e3b5ad02,,Vector,,"-74.963547,39.897209,-75.274077,40.138803","40.018006,-75.118812",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7040,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7040,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Services - City Facilties",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyGSC_City_Facilities_pub.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Services - City Faclilties: Philadephia, Pennsylvania",Location,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,906acaf0-f26e-4452-9acb-7fdbad85b5f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906acaf0-f26e-4452-9acb-7fdbad85b5f2,,Vector,,"-74.963972,39.860524,-75.283205,40.135037","39.9977805,-75.1235885",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7024,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7024,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Airport - Rental Car Lots",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyAirport_Rental_Car_Lots.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Airport - Rental Car Lots: Philadephia, Pennsylvania",Transportation,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,71392992-145a-4a2a-aeaf-256d05e2d27f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71392992-145a-4a2a-aeaf-256d05e2d27f,,Vector,,"-75.241874,39.877789,-75.247219,39.883466","39.8806275,-75.2445465",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7005,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7005,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Watersheds - Rain Check Installed",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWatersheds_RainCheck_Installed.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Watersheds - Rain Check Installed: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,ecb37972-395b-4164-89c7-e4aa6e12ae10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecb37972-395b-4164-89c7-e4aa6e12ae10,,Vector,,"-74.972288,39.896872,-75.273805,40.135105","40.0159885,-75.1230465",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7133,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7133,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Watersheds - Zoning Hydrology Line 2012",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWatersheds_Zoning_Hydrology_Line_2012.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Watersheds - Zoning Hydrology Line 2012: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,c3ff38dc-41ff-4263-8277-576070ce9cab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c3ff38dc-41ff-4263-8277-576070ce9cab,,Vector,,"-74.954205,39.861903,-75.284143,40.139162","40.0005325,-75.119174",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7134,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7134,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Watersheds - Zoning Hydrology polygon 2012",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWatersheds_ZONING_HYDROLOGY_POLY_2012.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Watersheds - Zoning Hydrology polygon 2012: Philadephia, Pennsylvania","Planning and Cadastral",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,0a606d45-8b52-4874-b300-cc3d94a1de76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a606d45-8b52-4874-b300-cc3d94a1de76,,Vector,,"-74.954144,39.854153,-75.284463,40.139169","39.996661,-75.1193035",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7135,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7135,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Watersheds - Historic Streams Polygon",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWatersheds_HistoricStreams_Poly.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Watersheds - Historic Streams Polygon: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,a5c6202d-6e90-41ac-85fc-24087c386342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a5c6202d-6e90-41ac-85fc-24087c386342,,Vector,,"-74.916501,39.838309,-75.275428,40.086168","39.9622385,-75.0959645",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7126,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7126,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Watersheds - Historic Streams Arc",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWatersheds_HistoricStreams_Arc.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Watersheds - Historic Streams Arc: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,3c68a9b8-ebd6-4152-a7a7-78702d8a31a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c68a9b8-ebd6-4152-a7a7-78702d8a31a7,,Vector,,"-74.917105,39.840778,-75.28677,40.151468","39.996123,-75.1019375",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7125,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7125,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Water - Dams",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWater_DAMS.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Water - Dams: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,1aec9b84-8e27-4d74-8e65-edd79dd393c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1aec9b84-8e27-4d74-8e65-edd79dd393c1,,Vector,,"-74.961189,39.962098,-75.249565,40.091468","40.026783,-75.105377",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7115,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7115,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Police - Courts",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyPolice_Courts.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Police - Courts: Philadephia, Pennsylvania","Imagery and Base Maps",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,06dc638a-707a-4210-b9ba-358335d3d674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06dc638a-707a-4210-b9ba-358335d3d674,,Vector,,"-75.151832,39.950595,-75.171182,39.961819","39.956207,-75.161507",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7063,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7063,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Watersheds - Hydrographic Features Arc",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWatersheds_Hydrographic_Features_Arc.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Watersheds - Hydrographic Features Arc: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,3ce05349-4747-44b7-bd7f-11de318284f3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ce05349-4747-44b7-bd7f-11de318284f3,,Vector,,"-74.892432,39.791583,-75.468675,40.250448","40.0210155,-75.1805535",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7127,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7127,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Watersheds - Hydrographic Features Polygon",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyWatersheds_Hydrographic_Features_Poly.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Watersheds - Hydrographic Features Polygon: Philadephia, Pennsylvania","Inland Waters",,,,"City of Philadelphia",,,Public,,Files,English,Dataset,0f3fc627-6d54-4466-8642-31408d9735cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0f3fc627-6d54-4466-8642-31408d9735cc,,Vector,,"-74.696414,38.761101,-76.220564,40.671237","39.716169,-75.458489",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7128,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7128,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Streets - Curbs No Cartways",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyStreets_Curbs_No_Cartways.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Streets - Curbs No Cartways: Philadephia, Pennsylvania",Transportation,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,5e81d014-3c90-476b-92e6-0f2127df4640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e81d014-3c90-476b-92e6-0f2127df4640,,Vector,,"-74.955852,39.856616,-75.284438,40.143041","39.9998285,-75.120145",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7082,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7082,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Streets - Curbs",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyStreets_Curbs.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Streets - Curbs: Philadephia, Pennsylvania",Transportation,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,79722237-c4a9-4d3f-bb9f-48d5e2d042e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79722237-c4a9-4d3f-bb9f-48d5e2d042e3,,Vector,,"-74.955763,39.8715137,-75.280303,40.1379918","40.00475275,-75.118033",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7081,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7081,,,,,,Dataset,"08a-01 PASDA",0,0
"Philadelphia Police - CCD Bounary",,,,,,,,,,,,,,,,,,"Pennsylvania Spatial Data Access (PASDA)",,,,,,,,,,http://www.pasda.psu.edu/metadata/harvest/PhillyPolice_CCD_BOUNDARY.xml,"4560347: Philadelphia (country, state, region,...), Pennsylvania, United States",2016,,,,,,,,"Penn State",,"Police - CCD Bounary: Philadephia, Pennsylvania",Boundaries,,,,"City of Philadelphia",,,Public,,Files,English,Dataset,45ca7da6-dafe-4aa3-8138-ff00cc091626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45ca7da6-dafe-4aa3-8138-ff00cc091626,,Vector,,"-75.149926,39.944596,-75.180301,39.962596","39.953596,-75.1651135",,,2016,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7059,,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=7059,,,,,,Dataset,"08a-01 PASDA",0,0
