dc_identifier_s,dc_title_s,dc_description_s,dc_rights_s,dc_format_s,dc_language_s,dc_type_s,dc_publisher_sm,dc_subject_sm,dc_publisher_sm__002,dc_creator_sm,dct_provenance_s,dct_references_s,dct_isPartOf_sm,dct_spatial_sm__001|dct_spatial_sm__002|dct_spatial_sm__003|dct_spatial_sm__004|dct_spatial_sm__005|dct_spatial_sm__006|dct_spatial_sm__007|dct_spatial_sm__008|dct_spatial_sm__009|dct_spatial_sm__010,dc_relation_sm,dct_temporal_sm__001,layer_slug_s,layer_geom_type_s,layer_modified_dt,thumbnail_path_ss,centroid_s,solr_geom,solr_year_i
a9dee2ab-592a-48c8-8448-0e36f3cdc4fa,Indianapolis.,"Blue line print.; Shows major roads and highways.; Annotated by stuck-on-lettering indicating recreational points of interest, such as parks, museums, and the zoo.; Indianapolis Zoo/White River Park is shown in an incorrect location. Scale approximately 1:58,000.",Public,JPEG,English,Image,publisher not identified,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00404"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00404""}",Indiana Historic Maps,"City of Indianapolis, Indiana, United States|Indiana, United States",http://sws.geonames.org/7163927|http://sws.geonames.org/4921868,199-?,a9dee2ab-592a-48c8-8448-0e36f3cdc4fa,Paper Map,2017-12-8T14:39:48Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00404,"39.78005,-86.1301","ENVELOPE(-86.3301, -85.9301, 39.9101, 39.65)",1990
4383ac33-4fbb-42f3-96d3-f8915283f9e2,County & township map of the states of Ohio and Indiana.,"Prime meridian: Washington.; Detached from an atlas, no. 68. Scale approximately 1:1,300,000.",Public,JPEG,English,Image,S. Augustus Mitchell,,,"Mitchell,  S. Augustus(Samuel Augustus), 1792-1868, cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00402"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00402""}",Indiana Historic Maps,"Ohio, United States|Indiana, United States",http://sws.geonames.org/5165418|http://sws.geonames.org/4921868,1877,4383ac33-4fbb-42f3-96d3-f8915283f9e2,Paper Map,2017-12-8T14:39:48Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00402,"39.825,-84.34","ENVELOPE(-88.08, -80.6, 41.75, 37.9)",1877
f2168ace-a373-4fa2-813d-98b330dcb276,"Fayette County, Indiana.","Scale approximately 1:50,000.",Public,JPEG,English,Image,Scarborough Co.,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00386"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00386""}",Indiana Historic Maps,"Fayette County, Indiana, United States|Indiana, United States",http://sws.geonames.org/4257390|http://sws.geonames.org/4921868,1908,f2168ace-a373-4fa2-813d-98b330dcb276,Paper Map,2017-12-8T14:39:48Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00386,"39.645,-85.165","ENVELOPE(-85.3, -85.03, 39.78, 39.51)",1908
5b2aa51e-af63-433b-94e4-32f088d503dd,Indiana,"Shows counties, cities and towns by population, and railroads. Scale approximately 1:1,630,000",Public,JPEG,English,Image,Hammond,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00380"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00380""}",Indiana Historic Maps,"Indiana, United States",http://sws.geonames.org/4921868,1904,5b2aa51e-af63-433b-94e4-32f088d503dd,Paper Map,2017-12-8T14:39:48Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00380,"39.805,-86.43","ENVELOPE(-88.11, -84.75, 41.75, 37.86)",1904
3fc0e860-105e-4de4-b741-505915db390b,"Wayne County, Ind.","Shows townships.; ""A. Zeese & Co., Engrs., Chi."" Scale approximately 1:158,260.",Public,JPEG,English,Image,A. Zeese & Co.,,,"Wissler,  B. F., cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00376"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00376""}",Indiana Historic Maps,"Wayne County, Indiana, United States|Indiana, United States",http://sws.geonames.org/4266673|http://sws.geonames.org/4921868,1888,3fc0e860-105e-4de4-b741-505915db390b,Paper Map,2017-12-8T14:39:48Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00376,"39.85005,-85.00505","ENVELOPE(-85.21, -84.8001, 40, 39.7001)",1888
b4fdb36e-5089-425b-8a3b-3fbf67001c7b,Indianapolis and environs,"From Rand, McNally & Company's Indexed atlas of the world, 1898, p. 332-333.; Includes inset of ""Business portion of Indianapolis.""; Maps of New Orleans, La. and Louisville, Ky. on verso. Scale approximately 1:31,680",Public,JPEG,English,Image,Rand McNally,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00365"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00365""}",Indiana Historic Maps,"Louisville, Kentucky, United States|Indianapolis, Indiana, United States|New Orleans, Louisiana, United States|Kentucky, United States|Indiana, United States",http://sws.geonames.org/4299276|http://sws.geonames.org/4259418|http://sws.geonames.org/4335045|http://sws.geonames.org/6254925|http://sws.geonames.org/4921868,1898,b4fdb36e-5089-425b-8a3b-3fbf67001c7b,Paper Map,2017-12-8T14:39:49Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00365,"39.7601,-86.12005","ENVELOPE(-86.3101, -85.93, 39.9101, 39.6101)",1898
07d27a52-bbbf-4789-bc28-cab70bc547d9,"Map of Bloomington, Indiana.","Title on wrapper: Bloomington, including Monroe County and Indiana University.; Insets: Map of Monroe County, Indiana -- [Map of Indiana University].; Includes indexes. Scale approximately 1:19,200.",Public,JPEG,English,Image,"R.L. Polk & Co., Arrow Guide Division",,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00343"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00343""}",Indiana Historic Maps,"Bloomington, Indiana, United States|Indiana, United States",http://sws.geonames.org/4254679|http://sws.geonames.org/4921868,196-,07d27a52-bbbf-4789-bc28-cab70bc547d9,Paper Map,2017-12-8T14:39:49Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00343,"39.16,-86.4951","ENVELOPE(-86.5801, -86.4101, 39.21, 39.11)",1960
9eaef74b-3585-4c47-80b0-bf46636c86ec,"City of Bloomington, master land use plan: Indiana University impact analysis.","Blue line print.; Area north of 17th Street appears to have been trimmed from the map. Scale 1:2,400. 1"" = 200'.",Public,JPEG,English,Image,City of Bloomington?,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00326"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00326""}",Indiana Historic Maps,"Bloomington, Indiana, United States|Indiana, United States",http://sws.geonames.org/4254679|http://sws.geonames.org/4921868,between 1971 and 1977,9eaef74b-3585-4c47-80b0-bf46636c86ec,Paper Map,2017-12-8T14:39:49Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00326,"39.15505,-86.50505","ENVELOPE(-86.5101, -86.5, 39.1601, 39.15)",1971
7889b855-1fdc-48ff-b32e-b18658216b12,Cram's new sectional map of Indiana,"Shows counties, townships, sections, cities and towns, and railroads.; Includes text and census by counties. Scale approximately 1:462,000.",Public,JPEG,English,Image,Western Map Depot,,,"Cram,  George Franklin, 1841-1928, cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00325"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00325""}",Indiana Historic Maps,"Indiana, United States",http://sws.geonames.org/4921868,1875,7889b855-1fdc-48ff-b32e-b18658216b12,Paper Map,2017-12-8T14:39:49Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00325,"39.805,-86.43","ENVELOPE(-88.11, -84.75, 41.75, 37.86)",1875
24163ebb-e269-424f-9f32-c43853931fb4,"Indiana University, Bloomington, Indiana, 1969-1970.","Blue line print.; Includes index to buildings.; ""12/1/69 B.W."" Scale 1:3,600. 1"" = 300'.",Public,JPEG,English,Image,Indiana University?,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00308"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00308""}",Indiana Historic Maps,"Bloomington, Indiana, United States|Indiana, United States",http://sws.geonames.org/4254679|http://sws.geonames.org/4921868,1969?,24163ebb-e269-424f-9f32-c43853931fb4,Paper Map,2017-12-8T14:39:49Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00308,"39.1651,-86.4951","ENVELOPE(-86.5101, -86.4801, 39.1801, 39.1501)",1969
628e0648-2bbe-4dfd-9b12-b3061594ea10,"Sectional and road map, Lake County, Indiana","Scale approximately 1:63,360.",Public,JPEG,English,Image,T.H. Ball,,,"Ball,  T. H.(Timothy Horton), 1826-1913, cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00294"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00294""}",Indiana Historic Maps,"Lake County, Indiana, United States|Indiana, United States",http://sws.geonames.org/4922493|http://sws.geonames.org/4921868,1891,628e0648-2bbe-4dfd-9b12-b3061594ea10,Paper Map,2017-12-8T14:39:49Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00294,"41.4501,-87.36005","ENVELOPE(-87.5101, -87.21, 41.7501, 41.1501)",1891
d35d4c46-506b-45eb-99d3-9ed4a90aaff5,"Map of New Albany, Indiana.","Oriented with north toward the upper right. Scale 1:7,200. 1 inch = 600 feet.",Public,JPEG,English,Image,Petery-Hedden Print. Co.,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00289"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00289""}",Indiana Historic Maps,"New Albany, Indiana, United States|Indiana, United States",http://sws.geonames.org/4262045|http://sws.geonames.org/4921868,1942,d35d4c46-506b-45eb-99d3-9ed4a90aaff5,Paper Map,2017-12-8T14:39:50Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00289,"38.305,-85.8051","ENVELOPE(-85.8501, -85.7601, 38.36, 38.25)",1942
a391258c-454e-4420-90d9-22b9ee3bfe80,"Franklin Co., Ind.","Scale approximately 1:60,000.",Public,JPEG,English,Image,Scarborough Co.,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00278"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00278""}",Indiana Historic Maps,"Franklin County, Indiana, United States|Indiana, United States",http://sws.geonames.org/4257700|http://sws.geonames.org/4921868,1908,a391258c-454e-4420-90d9-22b9ee3bfe80,Paper Map,2017-12-8T14:39:50Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00278,"39.38505,-85.0401","ENVELOPE(-85.2801, -84.8001, 39.5101, 39.26)",1908
b962d920-21e8-40c6-83de-d081e5f70245,"Bloomington, Indiana","Scale approximately 1:24,000.",Public,JPEG,English,Image,City of Bloomington,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00261"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00261""}",Indiana Historic Maps,"Bloomington, Indiana, United States|Indiana, United States",http://sws.geonames.org/4254679|http://sws.geonames.org/4921868,1977,b962d920-21e8-40c6-83de-d081e5f70245,Paper Map,2017-12-8T14:39:50Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00261,"39.15505,-86.51505","ENVELOPE(-86.58, -86.4501, 39.2001, 39.11)",1977
ea33ba17-bb80-4eab-afc7-ec8dd4814c88,"City of Valparaiso, Indiana.","Scale approximately 1:11,300.",Public,JPEG,English,Image,N.S. Amstutz,,,"Amstutz,  N. S.(Noah Steiner), 1864-cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00232"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00232""}",Indiana Historic Maps,"Valparaiso, Indiana, United States|Indiana, United States",http://sws.geonames.org/4927537|http://sws.geonames.org/4921868,1936,ea33ba17-bb80-4eab-afc7-ec8dd4814c88,Paper Map,2017-12-8T14:39:50Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00232,"41.46505,-87.04005","ENVELOPE(-87.1, -86.9801, 41.5001, 41.43)",1936
3092ef46-89c2-42c6-9c80-6192c5a490ce,Official map of the City of Indianapolis,"Blue line print.; ""Approved: Sep't 19th 1903, Board of Public Works.""; ""Adopted by Common Council, Sept. 19th 1904.""; ""Code: May 1st 1905 ; March 1st 1906."" Scale 1:7,200. 600 feet per inch.",Public,JPEG,English,Image,City of Indianapolis,,,"Palmer,  Thos. W.(Thomas W.), cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00231"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00231""}",Indiana Historic Maps,"Indianapolis, Indiana, United States|Indiana, United States",http://sws.geonames.org/4259418|http://sws.geonames.org/4921868,1906,3092ef46-89c2-42c6-9c80-6192c5a490ce,Paper Map,2017-12-8T14:39:50Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00231,"39.7601,-86.12005","ENVELOPE(-86.3101, -85.93, 39.9101, 39.6101)",1906
5be50a66-cb6b-4745-a7b9-0220dadd296b,Area map: Nashville and park entrance.,"Blue line print.; Shows corporate limits of Nashville Indiana, roads, some buildings, Salt Creek, the north entrance to Brown County State Park and distances to Bloomington, Indianapolis, and Columbus. Scale not given.",Public,JPEG,English,Image,publisher not identified,,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00225"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00225""}",Indiana Historic Maps,"Nashville, Indiana, United States|Indiana, United States",http://sws.geonames.org/4261983|http://sws.geonames.org/4921868,1970?,5be50a66-cb6b-4745-a7b9-0220dadd296b,Paper Map,2017-12-8T14:39:51Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00225,"39.19,-86.21505","ENVELOPE(-86.2301, -86.2, 39.2, 39.18)",1970
2bdcd3c9-dd11-4296-9c3e-c1a10dd9477e,"Map of Nappanee, Indiana: celebrating its 60th anniversary as a city","""7185.""; Inset: Nappanee Municipal Airport.; Text, illustrations, and area map on verso.; Advertising matter on borders. Scale not given",Public,JPEG,English,Image,Napanee Chamber of Commerce,,,"Clouse,  Jim(Map maker), cartographer.",Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00214"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00214""}",Indiana Historic Maps,"Nappanee, Indiana, United States|Indiana, United States",http://sws.geonames.org/4924077|http://sws.geonames.org/4921868,1985?,2bdcd3c9-dd11-4296-9c3e-c1a10dd9477e,Paper Map,2017-12-8T14:39:51Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00214,"41.4301,-85.97005","ENVELOPE(-86.03, -85.9101, 41.4501, 41.4101)",1985
b6cb81d7-9eec-454c-9d6f-6c61f6481e1c,"Lost River, Patoka, and Lafayette purchase units, Indiana, 2nd principal meridian: [Hoosier National Forest]","""Compiled at the Regional Office, Milwaukee, Wisconsin form G.L.O. and Forest Service Surveys, also state and county maps by W.F. Last.""; ""Preliminary map."" Scale approximately 1:250,000.",Public,JPEG,English,Image,"U.S. Dept. of Agriculture, Forest Service",,,,Indiana,"{""http://schema.org/url"":""http://purl.dlib.indiana.edu/iudl/images/VAC3073/VAC3073-M-00204"",""http://schema.org/downloadUrl"":""https://purl.dlib.indiana.edu/iudl/images/VAC3073/screen/VAC3073-M-00204""}",Indiana Historic Maps,"Hoosier National Forest, Indiana, United States|Indiana, United States",http://sws.geonames.org/4259106|http://sws.geonames.org/4921868,1936,b6cb81d7-9eec-454c-9d6f-6c61f6481e1c,Paper Map,2017-12-8T14:39:51Z,https://purl.dlib.indiana.edu/iudl/images/VAC3073/thumbnail/VAC3073-M-00204,"38.3951,-86.72505","ENVELOPE(-87, -86.4501, 38.9801, 37.8101)",1936
