"Dublin Core:Title","Dublin Core:Description","Dublin Core:Rights","Dublin Core:Provenance","Dublin Core:Is Part Of","Dublin Core:Subject","Dublin Core:Spatial Coverage","Dublin Core:Temporal Coverage","Dublin Core:Date Issued","Dublin Core:Creator","Dublin Core:Publisher","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Relation","Dublin Core:References","Dublin Core:Source","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Coverage","Dublin Core:Alternative Title","Dublin Core:Abstract","Dublin Core:Table Of Contents","Dublin Core:Date Available","Dublin Core:Date Created","Dublin Core:Date Accepted","Dublin Core:Date Copyrighted","Dublin Core:Date Submitted","Dublin Core:Date Modified","Dublin Core:Date Valid","Dublin Core:Access Rights","Dublin Core:License","Dublin Core:Conforms To","Dublin Core:Has Format","Dublin Core:Has Part","Dublin Core:Has Version","Dublin Core:Is Format Of","Dublin Core:Is Referenced By","Dublin Core:Is Replaced By","Dublin Core:Is Required By","Dublin Core:Is Version Of","Dublin Core:Replaces","Dublin Core:Requires","Dublin Core:Extent","Dublin Core:Medium","Dublin Core:Bibliographic Citation","Dublin Core:Accrual Method","Dublin Core:Accrual Periodicity","Dublin Core:Accrual Policy","Dublin Core:Audience","Dublin Core:Audience Education Level","Dublin Core:Mediator","Dublin Core:Instructional Method","Dublin Core:Rights Holder","Item Type Metadata:Text","Item Type Metadata:Interviewer","Item Type Metadata:Interviewee","Item Type Metadata:Location","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:Duration","Item Type Metadata:Compression","Item Type Metadata:Producer","Item Type Metadata:Director","Item Type Metadata:Bit Rate/Frequency","Item Type Metadata:Time Summary","Item Type Metadata:Email Body","Item Type Metadata:Subject Line","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:CC","Item Type Metadata:BCC","Item Type Metadata:Number of Attachments","Item Type Metadata:Standards","Item Type Metadata:Objectives","Item Type Metadata:Materials","Item Type Metadata:Lesson Plan Text","Item Type Metadata:URL","Item Type Metadata:Event Type","Item Type Metadata:Participants","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Occupation","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography","Item Type Metadata:Notes","Item Type Metadata:Stage",GeoBlacklight:UUID,"GeoBlacklight:Layer ID",GeoBlacklight:Slug,"GeoBlacklight:Geometry Type","GeoBlacklight:Layer Modified Date","GeoBlacklight:GeoRSS Box","GeoBlacklight:GeoRSS Polygon","GeoBlacklight:GeoRSS Point","GeoBlacklight:Apache Solr Geometry","GeoBlacklight:Apache Solr Bounding Box","GeoBlacklight:Apache Solr Year","GeoBlacklight:Information Page",GeoBlacklight:Thumbnail,"GeoBlacklight:Download File","GeoBlacklight:IIIF Server","GeoBlacklight:Esri Rest Service","GeoBlacklight:Web Map Service",tags,file,itemType,collection,public,featured
"Carte Generale de l'Afrique: Voir, a leur orde alphabetique, les cartes detaillees des divers pays",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1898,,,,JPEG,French,Image,dae5be55-a025-412c-8aee-8a4a29e952e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dae5be55-a025-412c-8aee-8a4a29e952e8,,,"Image",,"-18.6,-35.3,52.3,37.14",,"0.920000000000002,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/AE25L35-1898,https://archive.lib.msu.edu/maps/public/images/109ae25L35v1_t.JPG,http://archive.lib.msu.edu/maps/MSU-Scanned/Africa/AE25L35-1898.JPG,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Bangor Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,d08ea68e-4092-479f-b251-9be81528a51e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08ea68e-4092-479f-b251-9be81528a51e,,,"Image",,"-86.220536,42.243353,-86.09282,42.326662",,"42.2850075,-86.156678",,,,https://lib.msu.edu/branches/map/MiJPEGs/14_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/14_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/14_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Политическая Карта Африки [Political Map of Africa]",,Public,"Michigan State","Michigan State University Map Library",,"6255146: Africa (parks,area, ...)",1890,,,,JPEG,Russian,Image,d08ea5e1-9c1d-4d3a-a451-3004f939e647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08ea5e1-9c1d-4d3a-a451-3004f939e647,,,"Image",,"-18.6,-35.3,52.3,37.18",,"0.940000000000001,16.85",,,,https://lib.msu.edu/branches/map/MSU-Scanned/Africa/494(c-d)_ae55e6v2,https://archive.lib.msu.edu/maps/public/images/494c-d_ae55e6v2_th,http://archive.lib.msu.edu/maps/MSU-Scanned/Africa/494(c-d)_ae55e6v2.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Geneva Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,cf065961-d6f4-4f8b-b91a-fee85eb99a9f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf065961-d6f4-4f8b-b91a-fee85eb99a9f,,,"Image",,"-86.2255,42.331459,-86.109431,42.419401",,"42.37543,-86.1674655",,,,https://lib.msu.edu/branches/map/MiJPEGs/22_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/22_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/22_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"A Chart of the Baltic Sea, Gulfs of Finland and Bothnia, with the Sound, drawn from the Best Maps & Charts",,Public,"Michigan State","Michigan State University Map Library",,"2633321: Baltic Sea (stream, lake, ...)",1748,,"Jeffreys, Thomas",,JPEG,English,Image,cdbaabc5-143a-41a3-bb70-5ff2fa49dbde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cdbaabc5-143a-41a3-bb70-5ff2fa49dbde,,,"Image",,"2.2,51.7,28.3,65.7",,"58.7,15.25",,,,https://lib.msu.edu/branches/map/scanned/Europe/714-A-1748-400,https://archive.lib.msu.edu/maps/public/images/714-A-1748-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/714-A-1748-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of Arlington Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,cae0bd25-120f-491d-bf49-478ec6005be3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cae0bd25-120f-491d-bf49-478ec6005be3,,,"Image",,"-86.109431,42.243759,-85.993788,42.332289",,"42.288024,-86.0516095",,,,https://lib.msu.edu/branches/map/MiJPEGs/10_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/10_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/10_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of North America",,Public,"Michigan State","Michigan State University Map Library",,"6255149: North America (parks,area, ...)",1866,,"Mitchell, S. Augustus",,JPEG,English,Image,cab7f0c9-28b7-4e9e-8153-a65ec7e8d7c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cab7f0c9-28b7-4e9e-8153-a65ec7e8d7c5,,,"Image",,"170.6,5.5,-8.3,84.0",,"44.75,81.15",,,,http://www.lib.msu.edu/branches/map/MSU-Scanned/North_America_Canada/G1019M67-1867/,https://archive.lib.msu.edu/maps/public/images/NA-G1019M67-1867-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/North_America_Canada/NA-G1019M67-1867.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Shield of Achilles",,Public,"Michigan State","Michigan State University Map Library",,"6295630: World (parks,area, ...)",-1749,,,,JPEG,English,Image,c65b2a09-e8f5-4db7-ad03-f802b439d83f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c65b2a09-e8f5-4db7-ad03-f802b439d83f,,,"Image",,"-180,-90,180,90",,"0,0",,,,https://lib.msu.edu/branches/map/scanned/World/050-M-1749-400,https://archive.lib.msu.edu/maps/public/images/050-M-1749-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/050-M-1749-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Porter Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,c1dcde6b-4582-4ce6-a616-5e192fdb9b88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1dcde6b-4582-4ce6-a616-5e192fdb9b88,,,"Image",,"-85.877905,42.068867,-85.763078,42.157181",,"42.113024,-85.8204915",,,,https://lib.msu.edu/branches/map/MiJPEGs/36_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/36_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/36_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"[Title page] Compiled from Official Records and Local Inspection",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,bfa8f078-dec3-4071-b793-5ba85c77e2d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bfa8f078-dec3-4071-b793-5ba85c77e2d1,,,"Image",,"-86.529324,42.06928,-85.762943,42.420699",,"42.2449895,-86.1461335",,,,https://lib.msu.edu/branches/map/MiJPEGs/4_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/4_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/4_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of Almena Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,b97622bf-4765-45c2-ab20-1c7c00d35b56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b97622bf-4765-45c2-ab20-1c7c00d35b56,,,"Image",,"-85.878867,42.244596,-85.765506,42.332181",,"42.2883885,-85.8221865",,,,https://lib.msu.edu/branches/map/MiJPEGs/6_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/6_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/6_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Map of the State of Colorado.",,Public,"Michigan State","Michigan State University Map Library",,"5417618: Colorado (country, state, region,...), Colorado, United States",1902,,,,JPEG,English,Image,b70a9792-c99e-427f-a297-c3ceda1ab95b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b70a9792-c99e-427f-a297-c3ceda1ab95b,,,"Image",,"-109.14,36.96,-102.07,41.06",,"39.01,-105.605",,,,https://lib.msu.edu/branches/maps/MSU-Scanned/UnitedStates/814-B-1902,https://archive.lib.msu.edu/maps/public/images/814-B-1902-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/UnitedStates/814-B-1902.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Keeler Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,b6b1ce1d-a987-4ebe-b52d-e845aa5c7e2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6b1ce1d-a987-4ebe-b52d-e845aa5c7e2d,,,"Image",,"-86.222945,42.070793,-86.107732,42.157114",,"42.1139535,-86.1653385",,,,https://lib.msu.edu/branches/map/MiJPEGs/28_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/28_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/28_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Antwerp Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,b3af56d0-31c1-488c-8e69-dc9333f1d2ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3af56d0-31c1-488c-8e69-dc9333f1d2ab,,,"Image",,"-85.878767,42.157028,-85.764605,42.244857",,"42.2009425,-85.821686",,,,https://lib.msu.edu/branches/map/MiJPEGs/8_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/8_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/8_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"The Road from London to York",,Public,"Michigan State","Michigan State University Map Library",,"2635167: Great Britain (country, state, region,...), United Kingdom",1766,,,,JPEG,English,Image,b34f42da-e4da-4494-a663-3adc58e0975f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b34f42da-e4da-4494-a663-3adc58e0975f,,,"Image",,"-1.1427,51.4496,-0.0574,54.0399",,"52.74475,-0.60005",,,,https://lib.msu.edu/branches/map/scanned/Europe/621-c-D-1766-400,https://archive.lib.msu.edu/maps/public/images/621-c-D-1766-th.jpg,http://archive.lib.msu.edu/maps/MSU-Scanned/Magazines/621-c-D-1766-400.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
"Columbia Township",,Public,"Michigan State","Michigan State University Map Library",,"5013104: Van Buren County (country, state, region,...), Michigan, United States",1906,,"Orton, M. K.",,JPEG,English,Image,a9ccbccc-cc9f-48ad-957c-b087b3681e5c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a9ccbccc-cc9f-48ad-957c-b087b3681e5c,,,"Image",,"-86.109547,42.332496,-85.998311,42.411632",,"42.372064,-86.053929",,,,https://lib.msu.edu/branches/map/MiJPEGs/16_g1413v3k3_1895_l/,https://archive.lib.msu.edu/maps/public/images/16_g1413v3k3_1895_th.jpg,https://archive.lib.msu.edu/maps/MSU-Scanned/Michigan/16_g1413v3k3_1895_l.jpg,,,,,,,"06d-01 Michigan State University Map Library",0,0
