dc_identifier_s,dc_title_s,dc_description_s,dc_creator_sm,dc_publisher_sm,dc_rights_s,dct_provenance_s,dct_references_s,layer_id_s,layer_slug_s,layer_geom_type_s,layer_modified_dt,dc_format_s,dc_language_s,dc_type_s,dc_subject_sm,dct_isPartOf_sm,dct_issued_s,dct_temporal_sm,dct_spatial_sm,solr_geom,centroid_s,solr_year_i
4e6931a5-5bbf-4ae0-87a0-da1cb53e4512,"Waste Site Locations for Disposal, Storage and Handling of Solid Waste and Hazardous Waste: Indiana, 2015","WASTE_DISPOSAL_STORAGE_HANDLING_IDEM_IN is a point shapefile that contains waste site locations for the disposal, storage, and handling of solid and hazardous waste in Indiana. It was provided by personnel of Indiana Department of Environmental Management, Office of Land Quality (IDEM, OLQ) as of June 25, 2013 and subsequently updated on February 25, 2015. The data set provided by IDEM was in an Esri geodatabase format, and the feature class was named WasteD_S_H_SWHW. WASTE_DISPOSAL_STORAGE_HANDLING_IDEM_IN is attributed with facility identifications, federal identification numbers, IDEM managing program and sub-program codes, and site names. Facility information and locational coordinates for state programs were provided by the Solid Waste Compliance Section, Office of Land Quality, Indiana Department of Environmental Management. The following is excerpted from the metadata provided by IDEM, OLQ for the source shapefile named WasteD_S_H_SWHW: This project is the first phase in the creation of a base locational data set to establish Geographic Information Systems as an integral part of Solid Waste facilities for the Indiana Department of Environmental Management. Inspectors and Environmental Project Managers were trained in techniques and proper use of Global Positioning Systems. Solid Waste Complicance Inspectors then went into the field and collected GPS information at managed sites as part of the daily inspection/management of Solid Waste sites. This information was then brought back to the office, processed, and QA/AC'd before being deposited in a central archive. The data set also includes address-matched and map-interpolated locations. These are being upgraded to GPS locations as time allows.","[u'Indiana Department of Environmental Management, Office of Land Quality']","[u'Indiana Department of Environmental Management, Office of Land Quality']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Environment/Waste_Disposal_Storage_Handling.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Environment/Waste_Disposal_Storage_Handling/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/4e6931a5-5bbf-4ae0-87a0-da1cb53e4512/formatters/xml""}",,4e6931a5-5bbf-4ae0-87a0-da1cb53e4512,Point,2017-12-27T20:51:14Z,Shapefile,English,Dataset,"[u'Environment', u'Solid waste']",IndianaMAP,2/25/15,2015,"[u'Indiana, United States']","ENVELOPE(-87.962514, -84.769168, 41.75228, 37.891513)","39.8218965,-86.365841",2015
90e7f342-118b-47d3-aa20-41011681cf11,"Crops for 2001, Derived from National Agricultural Statistics Service: Indiana, 2002","The following is excerpted from the metadata provided by NASS (USDA) for the source data set IN01NASS.TIF: The USDA-NASS 2001 Indiana Cropland Data Layer is a raster, geo-referenced, categorized land cover data layer produced using satellite imagery from the Thematic Mapper (TM) instrument on Landsat 5 and the Enhanced Thematic Mapper (ETM+) on Landsat 7. The imagery was collected between the dates of April 29, 2001 and September 5, 2001. The approximate scale is 1:100,000 with a ground resolution of 30 meters by 30 meters. The Indiana data layer is aggregated to 13 standardized categories for display purposes with the emphasis being agricultural land cover. This is part of an annual series in which several states are categorized annually based on the extensive field observations collected during the annual NASS June Agricultural Survey. However, no farmer reported data is included or derivable on the Cropland Data Layer CD-ROM.","[u'United States Department of Agriculture (USDA), National Agricultural Statistics Service (NASS), Research and Development Division, Geospatial Information Branch, Spatial Analysis Research Section (SARS)']","[u'United States Department of Agriculture (USDA), National Agriculture Statistics Service (NASS)']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Environment/Crops_2001.zip"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/90e7f342-118b-47d3-aa20-41011681cf11/formatters/xml""}",,90e7f342-118b-47d3-aa20-41011681cf11,Raster,2017-12-27T20:51:20Z,GeoTIFF,English,Dataset,"[u'Farming', u'Agriculture']",IndianaMAP,3/10/02,2001,"[u'Indiana, United States', u'West Lafayette, Indiana, United States']","ENVELOPE(-88.0979, -84.7846, 41.7607, 37.7717)","39.7662,-86.44125",2002
4c7241b1-cfa7-4e90-a40e-9269fbd09403,"Index of USGS 100,000 Scale Quadrangles: Indiana, 1999",This dataset shows the grid index of USGS 100K quadrangles. Each polygon is attributed with the official USGS quadrangle name and index number.,[u'US Geological Survey (Data creator)'],,Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Reference/Quadrangle_Boundaries_100k.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Reference/Quadrangle_Boundaries_100k/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/4c7241b1-cfa7-4e90-a40e-9269fbd09403/formatters/xml""}",,4c7241b1-cfa7-4e90-a40e-9269fbd09403,Polygon,2017-12-27T20:50:59Z,Shapefile,English,Dataset,[u'Boundaries'],IndianaMAP,1/14/99,1999,"[u'Indiana, United States']","ENVELOPE(-88.1607, -84.6882, 41.7753, 37.7554)","39.76535,-86.42445",1999
c9107fea-7456-4607-b595-95cb50b5d8f9,"Subwatersheds, 14-digit, Hydrologic Units: Indiana, 2002","WATERSHEDS_HUC14_SUBWATERSHEDS_USGS_IN is a polygon shapefile showing the boundaries of subwatersheds in Indiana. Subwatersheds are noted by a 14-digit hydrologic unit (HUC). Actual hydrologic units often extend beyond the state and county boundaries. USGS metadata states - The U.S. Geological Survey, Water Resources Division, Indiana District (USGS), in cooperation with the Natural Resources Conservation Service (NRCS), the Indiana Department of Environmental Management, and the Indiana Department of Natural Resources, Division of Water, has created a digital dataset of 14-digit hydrologic units (HU's) for the State of Indiana. The 14-digit HU's are subdivisions of the 8-digit Hydrologic-Unit Maps published by the U.S. Geological Survey Office of Water Data Coordination (Seaber, P.R., Kapinos, F.P., and Knapp, G.L., 1987, Hydrologic-unit maps: U.S. Geological Survey Water Supply Paper 2294, p. 1-13).","[u'(conversion): Bernardin, Lochmueller and Associates', u'(creation): US Geological Survey']",[u'US Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Hydrology/Watersheds_HUC14.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Hydrology/Watersheds_HUC14/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/c9107fea-7456-4607-b595-95cb50b5d8f9/formatters/xml""}",,c9107fea-7456-4607-b595-95cb50b5d8f9,Polygon,2017-12-27T20:51:08Z,Shapefile,English,Dataset,"[u'Inland Waters', u'Hydrology']",IndianaMAP,10/31/02,1991,"[u'Indiana, United States', u'Tippecano County, Indiana, United States', u'Wabash River, Indiana, United States']","ENVELOPE(-88.1607, -84.6882, 41.7753, 37.7554)","39.76535,-86.42445",2002
f13e9885-bf4b-46eb-81a4-06c213d78f1a,"Elevation Ranges of the Colchester Coal Member (Linton Formation, Pennsylvanian) in West-Central Indiana: Indiana, 2000","From 1985 to 1994, a series of reports on coal resources of selected counties in Indiana was published as part of the Special Report series of the Indiana Geological Survey. These reports included maps showing elevation of the Colchester Coal Member (Linton Formation, Pennsylvanian). The elevation maps were based on coal-test records and interpretations of geophysical logs and mine-map notations that are included in the files of the Indiana Geological Survey. Data points were plotted by coal geologists of the Indiana Geological Survey and elevation contours were drawn by hand. The original work maps were compiled at a scale of 0.5 inch = 1 mile (1:126,720.) Following completion of the investigations, the work maps showing elevation contours were subsequently scanned and digitized, and the resulting county coverages were then compiled into a single multi-county coverage. Elevations are given in feet, and the contour interval is 20 feet. Since the completion of this shapefile, additional data on coalbed elevations in selected areas have been obtained by the Indiana Geological Survey; interested users may wish to contact the Indiana Geological Survey for information on these more up-to-date sources.","[u'Denver Harper (Data and GIS compiler)', u'Indiana Geological Survey']",[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""https://maps.indiana.edu/download/Geology/Coal_Colchester_Elevation.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Geology/Coal_Colchester_Elevation/MapServer/"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/f13e9885-bf4b-46eb-81a4-06c213d78f1a/formatters/xml""}",,f13e9885-bf4b-46eb-81a4-06c213d78f1a,Polygon,2017-12-27T20:50:56Z,Shapefile,English,Dataset,"[u'Geoscientific Information', u'Geology']",IndianaMAP,11/24/00,1994,"[u'Indiana, United States', u'West Lafayette, Indiana, United States']","ENVELOPE(-88.0071, -87.1497, 39.6043, 38.1622)","38.88325,-87.5784",2000
9608fdd6-a771-48d2-8f0b-c06df6a6ed00,"Cemetery Locations: Indiana, 2002","Cemeteries_USGSs__BLA_IN is a point shapefile showing the locations and attribute values of cemeteries extracted from the Geographic Names Information System (GNIS) developed by the USGS. The dataset contains cemeteries named on USGS 1:24000 quadrangles and other source map data. Some portions of the southwestern counties were field checked. Unnamed cemeteries were added from 1:24000 quadrangles (see process step) by Bernardin, Lochmueller and Associates.","[u'Bernardin, Lochmueller and Associates(BLA) and United States Geological Survey (USGS)']","[u'Bernardin, Lochmueller and Associates']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Infrastructure/Facilities_Cemetery_Sites_IDNR.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Infrastructure/Facilities_Cemetery_Sites_IDNR/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/9608fdd6-a771-48d2-8f0b-c06df6a6ed00/formatters/xml""}",,9608fdd6-a771-48d2-8f0b-c06df6a6ed00,Point,2017-12-27T20:50:47Z,Shapefile,English,Dataset,"[u'Structure', u'Society', u'Cemeteries']",IndianaMAP,10/31/02,2002,"[u'Indiana, United States']","ENVELOPE(-88.0114746094, -84.8254394531, 41.7549221677, 37.7880813841)","39.7715017759,-86.41845703125",2002
1e90caf5-67b6-4cfa-81fa-81ec397fb174,"Township or Range Lines: Indiana, 2002","LANDSURVEY_TOWNSHIPS_POLY_IN is a 1:24,000-scale polygon shapefile with a projection of Universal Transverse Mercator (UTM) North American Datum (NAD) 1983 zone 16.","[u'Karen K. Like (digital compiler)', u'Indiana Geological Survey']",[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Reference/PLSS_Townships.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Reference/PLSS_Townships/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/1e90caf5-67b6-4cfa-81fa-81ec397fb174/formatters/xml""}",,1e90caf5-67b6-4cfa-81fa-81ec397fb174,Polygon,2017-12-27T20:51:07Z,Shapefile,English,Dataset,"[u'Boundaries', u'Public land survey system']",IndianaMAP,6/21/02,1998,"[u'Indiana, United States']","ENVELOPE(-88.1607, -84.6882, 41.7753, 37.7554)","39.76535,-86.42445",2002
9ab62ac6-e8c9-48e9-9012-d63ffffacf88,"Extent of Wisconsin glaciation: Indiana, 2010","WISCONSIN_GLACIAL_LIMIT_IN.shp is a line shapefile that shows the Wisconsin glacial limit in Indiana as delineated by mapped glacial deposits at a scale of 1:500,000. The mapped units include glacial till that is interpreted to have been deposited during the Wisconsin Glaciation. The last major expansion of the North American Laurentide Ice Sheet occured in the Wisconsin glacial episode.","[u'Henry H. Gray (Data compiler)', u'Sally L. Letsinger (GIS compiler)', u'Center for Geospatial Data Analysis (CGDA)', u'Indiana Geological Survey']",[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Geology/Glacial_Wisconsin_Glacial_Limit.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Geology/Glacial_Wisconsin_Glacial_Limit/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/9ab62ac6-e8c9-48e9-9012-d63ffffacf88/formatters/xml""}",,9ab62ac6-e8c9-48e9-9012-d63ffffacf88,Line,2017-12-27T20:51:16Z,Shapefile,English,Dataset,"[u'Geoscientific Information', u'Geology', u'Glaciers']",IndianaMAP,5/7/10,1988,"[u'Indiana, United States']","ENVELOPE(-87.5336, -84.8049, 39.7872, 39.0717)","39.42945,-86.16925",2010
9ad52c4e-1b4d-418b-a95e-8216fb617f35,"Petroleum Reservoir Fields (Oil and Gas): Indiana, 2015","PETROLEUM_FIELDS_IGS_IN.SHP is an Esri polygon shapefile that depicts the locations and extents of all petroleum reservoir fields in Indiana, as of January 8, 2015. PETROLEUM_FIELDS_IGS_IN.SHP shows boundaries of petroleum reservoir fields that enclose petroleum wells that are classified as producing from a single field, but does not necessarily indicate the maximum extent of the producing reservoir field.",[u'Indiana Geological Survey'],[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Geology/Petroleum_Fields.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Geology/Petroleum_Fields/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/9ad52c4e-1b4d-418b-a95e-8216fb617f35/formatters/xml""}",,9ad52c4e-1b4d-418b-a95e-8216fb617f35,Polygon,2017-12-27T20:51:07Z,Shapefile,English,Dataset,"[u'Geoscientific Information', u'Economy', u'Petroleum', u'Oil fields']",IndianaMAP,1/8/15,2015,"[u'Indiana, United States']","ENVELOPE(-88.1571, -84.708, 41.7664, 37.7688)","39.7676,-86.43255",2015
b06d96e4-c917-4afc-a3df-adbbc9a2273c,"National Sediment Inventory (NSI) and Data Summaries, Derived from EPA BASINS 3: Indiana, 2004","SEDIMENT_INVENTORY_EPA_IN is a point shapefile from the National Sediment Inventory developed by the USEPA BASINS 3.0 program and edited by Bernardin, Lochmueller and Associates. Points represent monitoring stations attributed as occuring within the state of Indiana or along the Ohio River in Kentucky, or in Illinois along Lake Michigan. Joinable tables must be utilized to access data at specific stations for specific parameters. Five tables are available - tissue residue data (tischem.dbf), sediment chemistry data (sedichem.dbf), screening value, cancer slope factors, and noncancer reference doses for chemicals (reftabl.dbf), watershed summary data (watersh.dbf), biotoxicity data (biotox.dbf). US Environmental Protection Agency BASINS metadata reports - This dataset describes the accumulation of chemical contaminants in river, lake, ocean, and estuary bottoms and includes a screening assessment of the potential for associated adverse effects on human and environmental health. EPA evaluated more than 21,000 sampling stations nationwide using sediment chemistry data, chemical residue levels in edible tissue of aquatic organisms, and sediment toxicity data. Of the sampling stations evaluated, 5,521 stations were classified as Tier 1 (associated adverse effects are probable), 10,401 stations were classified as Tier 2 (associated adverse effects are possible, but expected infrequently), and 5,174 stations were classified as Tier 3 (no indication of associated adverse effects). Ninety-six watersheds were identified as areas of probable concern for sediment contamination. EPA believes that these watersheds represent the highest priority for further ecotoxicological assessments, risk analysis, temporal and spatial trend assessments, contaminant source evaluation, and management action because of the preponderance of evidence in these areas (although further evaluation is necessary). Also see the related report entitled The Incidence And Severity Of Sediment Contamination In Surface Waters of the United States, Volume 1, National Sediment Quality Survey (EPA 823-R-97-006, ) that was published in September 1997. For distribution with BASINS v.2.0, the spatial attributes of the database were prepared in Arcview shape file format while selected relational attributes were prepared in Arcview DBF file format. This data set provides individuals with observation level data that were used in the most geographically extensive investigation of sediment contamination ever performed in the United States. Based on this evaluation, sediment contamination exists at levels where associated adverse effects are probable in some locations within each State of the country.","[u'(creator): U. S. Environmental Protection Agency', u'(editor): Bernardin, Lochmueller and Associates']","[u'Bernardin, Lochmueller and Associates']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Hydrology/Water_Quality_Sediment_Inventory.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Hydrology/Water_Quality_Sediment_Inventory/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/b06d96e4-c917-4afc-a3df-adbbc9a2273c/formatters/xml""}",,b06d96e4-c917-4afc-a3df-adbbc9a2273c,Point,2017-12-27T20:51:09Z,Shapefile,English,Dataset,"[u'Environment', u'Geoscientific Information', u'Hydrology']",IndianaMAP,1/1/04,1993,"[u'Indiana, United States']","ENVELOPE(-88.0114746094, -84.8254394531, 41.7549221677, 37.7880813841)","39.7715017759,-86.41845703125",2004
d03f6c53-0bc5-4520-914a-2c4d65be9a86,"Nationwide Rivers Inventory: Indiana, 2004","Dataset includes all Indiana river reaches on the Nationwide Rivers Inventory (NRI) listed by the U.S. National Park Service (NPS). The file was created using 1:100,000 scale data from the National Hydrography Dataset (NHD), therefore, the lines remain in the NHD reaches, resulting in multiple line segments for each NRI listing. The line segments have NOT been dissolved. The start and end point of each listing segment is approximate and located by described landmarks. The following excerpt from the NPS, NRI website describes the eligibility for a river to be listed- In order to be listed on the NRI, a river must be free-flowing and possess one or more Outstandingly Remarkable Values (ORVs). Thus, the eligibility analysis consists of an examination of the river's hydrology, including any man-made alterations, and an inventory of its natural, cultural, and recreational resources. There are a variety of methods to determine whether certain resources are so unique, rare or exemplary as to make them outstandingly remarkable. The determination that a river area contains ORVs is a professional judgment on the part of the interdisciplinary study team (IDT), based on objective, scientific analysis. Input from organizations and individuals familiar with specific river resources should be sought and documented as part of the process. In order to be assessed as outstandingly remarkable, a river-related value must be a unique, rare, or exemplary feature that is significant at a comparative regional or national scale. Dictionary definitions of the words unique and rare indicate that such a value would be one that is conspicuous example from among a number of similar values that are themselves uncommon or extraordinary. Only one such value is needed for eligibility.","[u'Bernardin, Lochmueller & Associates, Inc. (Data compiler)', u'U.S. National Park Service (Data source)']","[u'Bernardin, Lochmueller & Associates, Inc.']",Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Hydrology/Water_Bodies_Rivers_Inventory.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Hydrology/Water_Bodies_Rivers_Inventory/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/d03f6c53-0bc5-4520-914a-2c4d65be9a86/formatters/xml""}",,d03f6c53-0bc5-4520-914a-2c4d65be9a86,Line,2017-12-27T20:51:13Z,Shapefile,English,Dataset,"[u'Environment', u'Geoscientific Information', u'Inland Waters', u'Rivers', u'Hydrology']",IndianaMAP,5/21/07,2007,"[u'Indiana, United States', u'Tippecano County, Indiana, United States', u'Wabash River, Indiana, United States']","ENVELOPE(-88.1607, -84.6882, 41.7753, 37.7554)","39.76535,-86.42445",2007
61f05f95-973b-4972-935d-f20c8fea8adb,"Natural Gas, Crude Oil, and Refined Oil Pipelines: Indiana, 2002","PIPELINES_IGS_IN depicts the location and extent of known natural gas, crude oil, and refined products pipelines in Indiana. PIPELINES, the predecessor of PIPELINES_IGS_IN, was digitized from data shown on 1:63,360 scale (1 inch = 1 mile) county work maps compiled for the creation of Indiana Geological Survey, Miscellaneous Map 53, Map of Indiana Showing Oil, Gas, and Products Pipelines, by S.J. Keller, 1991, Scale 1:500,000.",[u'Indiana Geological Survey'],[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Infrastructure/Energy_Pipelines_Oil_Gas.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Infrastructure/Energy_Pipelines_Oil_Gas/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/61f05f95-973b-4972-935d-f20c8fea8adb/formatters/xml""}",,61f05f95-973b-4972-935d-f20c8fea8adb,Polygon,2017-12-27T20:51:12Z,Shapefile,English,Dataset,"[u'Utilities and Communication', u'Pipelines', u'Petroleum']",IndianaMAP,7/18/02,2002,"[u'Indiana, United States']","ENVELOPE(-88.1607, -84.6882, 41.7753, 37.7554)","39.76535,-86.42445",2002
d93efb5c-355d-4ac5-8417-803158f5c271,"Land Cover, Derived from the 2006 National Land Cover Database: Indiana, 2011","LAND_COVER_2006_USGS_IN is a grid (30-meter cell size) showing 2006 Land Cover data in Indiana. This grid is a subset of the National Land Cover Data (NLCD 2006) data set. There are 15 categories of land use shown in this data set when the associated layer file (LAND_COVER_2006_USGS_IN.LYR) is loaded. The following is excerpted from metadata provided by the USGS for the NLCD 2006: The National Land Cover Database products are created through a cooperative project conducted by the Multi-Resolution Land Characteristics (MRLC) Consortium. The MRLC Consortium is a partnership of federal agencies (www.mrlc.gov), consisting of the U.S. Geological Survey (USGS), the National Oceanic and Atmospheric Administration (NOAA), the U.S. Environmental Protection Agency (EPA), the U.S. Department of Agriculture (USDA), the U.S. Forest Service (USFS), the National Park Service (NPS), the U.S. Fish and Wildlife Service (FWS), the Bureau of Land Management (BLM) and the USDA Natural Resources Conservation Service (NRCS). Previously, NLCD consisted of three major data releases based on a 10-year cycle. These include a circa 1992 conterminous U.S. land cover dataset with one thematic layer (NLCD 1992), a circa 2001 50-state/Puerto Rico updated U.S. land cover database (NLCD 2001) with three layers including thematic land cover, percent imperviousness, and percent tree canopy, and a 1992/2001 Land Cover Change Retrofit Product. With these national data layers, there is often a 5-year time lag between the image capture date and product release. In some areas, the land cover can undergo significant change during production time, resulting in products that may be perpetually out of date. To address these issues, this circa 2006 NLCD land cover product (NLCD 2006) was conceived to meet user community needs for more frequent land cover monitoring (moving to a 5-year cycle) and to reduce the production time between image capture and product release. NLCD 2006 is designed to provide the user both updated land cover data and additional information that can be used to identify the pattern, nature, and magnitude of changes occurring between 2001 and 2006 for the conterminous United States at medium spatial resolution. For NLCD 2006, there are 3 primary data products: 1) NLCD 2006 Land Cover map; 2) NLCD 2001/2006 Change Pixels labeled with the 2006 land cover class; and 3) NLCD 2006 Percent Developed Imperviousness. Four additional data products were developed to provide supporting documentation and to provide information for land cover change analysis tasks: 4) NLCD 2001/2006 Percent Developed Imperviousness Change; 5) NLCD 2001/2006 Maximum Potential Change derived from the raw spectral change analysis; 6) NLCD 2001/2006 From-To Change pixels; and 7) NLCD 2006 Path/Row Index vector file showing the footprint of Landsat scene pairs used to derive 2001/2006 spectral change with change pair acquisition dates and scene identification numbers included in the attribute table. In addition to the 2006 data products listed in the paragraph above, two of the original release NLCD 2001 data products have been revised and reissued. Generation of NLCD 2006 data products helped to identify some update issues in the NLCD 2001 land cover and percent developed imperviousness data products. These issues were evaluated and corrected, necessitating a reissue of NLCD 2001 data products (NLCD 2001 Version 2.0) as part of the NLCD 2006 release. A majority of NLCD 2001 updates occur in coastal mapping zones where NLCD 2001 was published prior to the National Oceanic and Atmospheric Administration (NOAA) Coastal Change Analysis Program (C-CAP) 2001 land cover products. NOAA C-CAP 2001 land cover has now been seamlessly integrated with NLCD 2001 land cover for all coastal zones. NLCD 2001 percent developed imperviousness was also updated as part of this process. Land cover maps, derivatives and all associated documents are considered provisional until a formal accuracy assessment can be conducted. The NLCD 2006 is created on a path/row basis and mosaicked to create a seamless national product. Questions about the NLCD 2006 land cover product can be directed to the NLCD 2006 land cover mapping team at the USGS/EROS, Sioux Falls, SD (605) 594-6151 or mrlc@usgs.gov.","[u'Indiana Geological Survey (Digital compiler)', u'United States Geological Survey (Author)']",[u'Indiana Geological Survey'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Environment/Land_Cover_2006.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Environment/Land_Cover_2006/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/d93efb5c-355d-4ac5-8417-803158f5c271/formatters/xml""}",,d93efb5c-355d-4ac5-8417-803158f5c271,Raster,2017-12-27T20:51:00Z,Shapefile,English,Dataset,"[u'Imagery and Base Maps', u'Environment']",IndianaMAP,6/23/11,2007,"[u'Indiana, United States', u'Tippecano County, Indiana, United States', u'Wabash River, Indiana, United States']","ENVELOPE(-88.1607, -84.6882, 41.7753, 37.7554)","39.76535,-86.42445",2011
27246f49-b3dc-4c0c-b591-6023fbf702f6,"Land Parcels Maintained by County Agencies: Indiana, 2015","COUNTY_LAND_PARCELS_IDHS_IN is an ESRI Geodatabase polygon feature class that contains land parcels maintained by county agencies in Indiana, provided by personnel of Indiana Department of Homeland Security (IDHS) as of June 29, 2009, and subsequently updated on September 30, 2009, December 2, 2009, December 28, 2009, February 2, 2010, March 5, 2010, April 6, 2010, October 11, 2010, November 19, 2010, March 22, 2011, September 8, 2011, January 30, 2012, June 8, 2012, August 27, 2012, April 27, 2013, November 22, 2013, January 19, 2014, October 14, 2014, and June 22, 2015. This data set was provided by IDHS in ESRI feature class named County_Parcels. These data were compiled by IDHS as part of the IndianaMap Data Sharing Initiative between IGIC, Indiana Office of Technology (IOT), Indiana Geographic Information Office (GIO), Indiana Department of Homeland Security (IDHS), Indiana Geological Survey (IGS) and participating Indiana counties to provide the most accurate framework data (including address points, street centerlines, land parcels, and governmental boundaries) for the citizens of Indiana. More information is available at the following Web URL: http://www.igic.org/news/index.php?itemid=265",[u'Indiana Department of Homeland Security (IDHS)'],[u'Indiana Department of Homeland Security (IDHS)'],Public,Purdue,"{""http://schema.org/downloadUrl"":""http://maps.indiana.edu/download/Reference/Land_Parcels_County_IDHS.zip"",""urn:x-esri:serviceType:ArcGIS#DynamicMapLayer"":""https://maps.indiana.edu/arcgis/rest/services/Reference/Land_Parcels_County_IDHS/MapServer"",""http://schema.org/url"":""http://maps.indiana.edu/layerGallery.html"",""http://www.isotc211.org/schemas/2005/gmd/"":""http://64.90.181.107/geonetwork/srv/api/records/27246f49-b3dc-4c0c-b591-6023fbf702f6/formatters/xml""}",,27246f49-b3dc-4c0c-b591-6023fbf702f6,Polygon,2017-12-27T20:51:12Z,Shapefile,English,Dataset,"[u'Planning and Cadastral', u'Parcels']",IndianaMAP,6/22/15,2015,"[u'Indiana, United States']","ENVELOPE(-88.092944, -84.705242, 41.540303, 37.787644)","39.6639735,-86.399093",2015
