dc_identifier_s,dc_title_s,dc_description_s,dc_rights_s,dc_format_s,dc_language_s,dc_type_s,dc_publisher_sm__-,dc_creator_sm,dc_subject_sm,dct_provenance_s,dct_references_s,dct_isPartOf_sm,dct_issued_s,dct_temporal_sm__-,dct_spatial_sm,dc_relation_sm,thumbnail_path_ss,layer_slug_s,layer_geom_type_s,layer_modified_dt,centroid_s,solr_geom,solr_year_i
3ac7aae4-5f93-46ac-8bfd-a165e3503d9e,"Plat Book of Clayton County, Iowa, 1886",Material in the public domain. No restrictions on use.,Public,JPEG,eng,Image,,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13228""}",Iowa Counties Historic Atlases,1886,1886,"Clayton County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4851902|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13228,3ac7aae4-5f93-46ac-8bfd-a165e3503d9e,Paper Map,2017-12-8T15:0:15Z,"42.8626976013,-91.2510032654","ENVELOPE(-91.6060333252, -90.8959732056, 43.0817070007, 42.6436882019)",1886
091a0308-0253-4073-a9e7-6e8e8dc126b0,"Plat Book of Chickasaw County, Iowa, 1895",Material in the public domain. No restrictions on use.,Public,JPEG,eng,Image,,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13227""}",Iowa Counties Historic Atlases,1895,1895,"Chickasaw County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4851303|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13227,091a0308-0253-4073-a9e7-6e8e8dc126b0,Paper Map,2017-12-8T15:0:16Z,"43.0595378876,-92.31760406495","ENVELOPE(-92.5544433594, -92.0807647705, 43.2131843567, 42.9058914185)",1895
ba9d89a1-1d4f-436a-9e06-47e5ab991b38,"Plat Book of Jones County, Iowa, 1893",Material in the public domain. No restrictions on use.,Public,JPEG,eng,Image,,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13226""}",Iowa Counties Historic Atlases,1893,1893,"Jones County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4862800|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13226,ba9d89a1-1d4f-436a-9e06-47e5ab991b38,Paper Map,2017-12-8T15:0:16Z,"42.12174987795,-91.13263320925","ENVELOPE(-91.3669128418, -90.8983535767, 42.2963752747, 41.9471244812)",1893
a49c405e-46c5-4b38-bafa-85f4073e3033,"Atlas of Osceola County, Iowa, 1935-1941","1 atlas.: b&w, 25 X 21 cm. No known copyright restrictions. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,The Sibley Gazette-Tribune,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13224""}",Iowa Counties Historic Atlases,1935,1935,"Osceola County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4870217|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13224,a49c405e-46c5-4b38-bafa-85f4073e3033,Paper Map,2017-12-8T15:0:16Z,"43.37993240355,-95.6241760254","ENVELOPE(-95.8623580933, -95.3859939575, 43.5039024353, 43.2559623718)",1935
68d54d95-c3df-4e42-bd67-c5de3e890c34,"Jefferson County Atlas, 1936","(The Fairfield Daily Ledger, 1936, Jefferson County Atlas); 1 Atlas: b&w; 26 X 27 cm. No known copyright restrictions. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,The Fairfield Daily Ledger,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13191""}",Iowa Counties Historic Atlases,1936,1936,"Jefferson County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4862494|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13191,68d54d95-c3df-4e42-bd67-c5de3e890c34,Paper Map,2017-12-8T15:0:16Z,"41.03141403195,-91.94935226445","ENVELOPE(-92.1815643311, -91.7171401978, 41.1635856628, 40.8992424011)",1936
4a579c51-27fc-4513-81b3-229518739bde,"Plat Book of Linn County, Iowa, 1930","(The Kenyon Company, 1930, Plat Book of Linn County, Iowa); 1 atlas: b&w.; 33 X 27 cm. No commercial reproduction or distribution of this file is permitted without permission. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,"Kenyon Company (Des Moines, Iowa)",,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13157""}",Iowa Counties Historic Atlases,1930,1930,"Linn County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4864924|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13157,4a579c51-27fc-4513-81b3-229518739bde,Paper Map,2017-12-8T15:0:17Z,"42.0794944763,-91.5995635986","ENVELOPE(-91.8342285156, -91.3648986816, 42.2986755371, 41.8603134155)",1930
02214067-9b04-4139-a614-3511c4b10576,"Atlas of Warren County, Iowa, 1902-1903","(The Indianola Record, 1902-1903, Atlas of Warren County, Iowa); 1 atlas: b&w.; 11 X 14 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,The Indianola Record,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13127""}",Iowa Counties Historic Atlases,1902,1902,"Warren County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4880695|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13127,02214067-9b04-4139-a614-3511c4b10576,Paper Map,2017-12-8T15:0:17Z,"41.3351306915,-93.56104278565","ENVELOPE(-93.79271698, -93.3293685913, 41.5109786987, 41.1592826843)",1902
fb0d8698-6572-4e18-af09-52ea0413568e,"Atlas and Plat Book of Calhoun County, Iowa, 1920","(The Kenyon Company, 1920, Atlas and Plat Book of Calhoun County, Iowa); 1 atlas: b&w.; 31 X 41 cm. Material in the public domain. No restrictions on use. University of Iowa Libraries Maps Collection",Public,JPEG,eng,Image,"Kenyon Company (Des Moines, Iowa)",,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13100""}",Iowa Counties Historic Atlases,1920,1920,"Calhoun County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4850031|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13100,fb0d8698-6572-4e18-af09-52ea0413568e,Paper Map,2017-12-8T15:0:17Z,"42.38442230225,-94.656288147","ENVELOPE(-94.9152145386, -94.3973617554, 42.5602416992, 42.2086029053)",1920
502337bd-1985-473d-858c-269ebf15c108,"Atlas of Buchanan County, Iowa, 1910","(Independence Conservative, 1910, Atlas of Buchanan County, Iowa); 1 atlas: b&w.; 35 X 42 cm. Material in the public domain. No restrictions on use. University of Iowa Libraries Map Collection",Public,JPEG,eng,Image,Independence Conservative,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/13030""}",Iowa Counties Historic Atlases,1910,1910,"Buchanan County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4849598|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/13030,502337bd-1985-473d-858c-269ebf15c108,Paper Map,2017-12-8T15:0:18Z,"42.4698009491,-91.839931488","ENVELOPE(-92.0829620361, -91.5969009399, 42.6437072754, 42.2958946228)",1910
17b80d14-1bb9-4c1a-a887-081f46f74135,"Atlas of Poweshiek County, Iowa, 1896","(Geo. A. Ogle & Co., 1896, Atlas of Poweshiek County, Iowa); 1 atlas: b&w.; 40 X 46 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Geo. A. Ogle & Co.,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12986""}",Iowa Counties Historic Atlases,1896,1896,"Poweshiek County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4871919|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12986,17b80d14-1bb9-4c1a-a887-081f46f74135,Paper Map,2017-12-8T15:0:18Z,"41.68536758425,-92.53345870975","ENVELOPE(-92.7683334351, -92.2985839844, 41.862487793, 41.5082473755)",1896
e2e5d00f-e024-49a5-a59c-e9b8736ba4ac,"Atlas of Louisa County, Iowa, 1917","(Geo. A. Ogle & Co., 1917, Atlas of Louisa County, Iowa); 1 atlas: b&w.; 40 X 45 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Geo. A. Ogle & Co.,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12929""}",Iowa Counties Historic Atlases,1917,1917,"Louisa County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4865506|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12929,e2e5d00f-e024-49a5-a59c-e9b8736ba4ac,Paper Map,2017-12-8T15:0:18Z,"41.2476501465,-91.21716308595","ENVELOPE(-91.4870452881, -90.9472808838, 41.4235229492, 41.0717773438)",1917
e9e83390-949e-459a-9b40-8737dd95e6a3,"Atlas and Plat Book of Jackson County, Iowa, 1913","(The Kenyon Company, 1913, Atlas and Plat Book of Jackson County, Iowa); 1 atlas: b&w.; 37 X 44 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Excelsior Printing Co.,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12873""}",Iowa Counties Historic Atlases,1913,1913,"Jackson County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4862320|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12873,e9e83390-949e-459a-9b40-8737dd95e6a3,Paper Map,2017-12-8T15:0:18Z,"42.20714378355,-90.52670669555","ENVELOPE(-90.8991394043, -90.1542739868, 42.3817825317, 42.0325050354)",1913
86092ed6-84a7-4c8f-9a29-c7509c5a420e,"Atlas of Poweshiek County, Iowa, 1921","(Midland Map Co., 1921, Atlas of Poweshiek County, Iowa); 1 l.: b&w.; 31 X 36 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Midland Map Co.,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12819""}",Iowa Counties Historic Atlases,1921,1921,"Poweshiek County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4871919|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12819,86092ed6-84a7-4c8f-9a29-c7509c5a420e,Paper Map,2017-12-8T15:0:18Z,"41.68536758425,-92.53345870975","ENVELOPE(-92.7683334351, -92.2985839844, 41.862487793, 41.5082473755)",1921
e37ed12b-7b33-4aed-822a-2128b1bb79a0,"Atlas of Hardin County, Iowa, 1918","(Midland Map Co., 1918, Atlas of Hardin County, Iowa); 1 atlas.: b&w.; 38 X 48 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Midland Map Co.,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12782""}",Iowa Counties Historic Atlases,1918,1918,"Hardin County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4859771|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12782,e37ed12b-7b33-4aed-822a-2128b1bb79a0,Paper Map,2017-12-8T15:0:19Z,"42.38255310055,-93.25122451785","ENVELOPE(-93.5002059937, -93.002243042, 42.5570220947, 42.2080841064)",1918
e9dac942-d539-4045-b47a-ef939194d9ad,"Atlas of Keokuk County, Iowa, 1895","(H. G. Bishop, 1895, Atlas of Keokuk County, Iowa); 1 atlas: b&w.; 39 X 47 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,H. G. Bishop,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12726""}",Iowa Counties Historic Atlases,1895,1895,"Keokuk County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4863357|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12726,e9dac942-d539-4045-b47a-ef939194d9ad,Paper Map,2017-12-8T15:0:19Z,"41.33596229555,-92.17946624755","ENVELOPE(-92.4136047363, -91.9453277588, 41.5107955933, 41.1611289978)",1895
fde8d3e7-0ab9-42ea-b4db-b52ab99864e2,"Atlas of Johnson County, Iowa, 1934","(Koser Bros., 1934, Atlas of Johnson County, Iowa); 1 atlas.: b&w.; 31 X 36 cm. No known copyright restrictions. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Koser Bros.,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12694""}",Iowa Counties Historic Atlases,1934,1934,"Johnson County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4862732|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12694,fde8d3e7-0ab9-42ea-b4db-b52ab99864e2,Paper Map,2017-12-8T15:0:19Z,"41.6420879364,-91.60040283205","ENVELOPE(-91.8337402344, -91.3670654297, 41.8619651794, 41.4222106934)",1934
02701c24-60aa-4cf9-ab56-cf34f266191e,"Atlas of Greene County, Iowa, 1921","(The Jefferson Bee, 1921, Atlas of Greene County, Iowa); 1 atlas.: b&w.; 29 X 35 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,The Jefferson Bee,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12669""}",Iowa Counties Historic Atlases,1921,1921,"Greene County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4859214|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12669,02701c24-60aa-4cf9-ab56-cf34f266191e,Paper Map,2017-12-8T15:0:19Z,"42.0353527069,-94.39754867555","ENVELOPE(-94.6302261353, -94.1648712158, 42.2090911865, 41.8616142273)",1921
1c687da5-6976-4c10-9cd2-6852f96598e1,"Atlas of Clarke County, Iowa, 1902","(Hennessey & Dardis, 1902, Atlas of Clarke County, Iowa); 1 l.: b&w.; 39 X 45 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Hennessey & Dardis,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12651""}",Iowa Counties Historic Atlases,1902,1902,"Clarke County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4851832|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12651,1c687da5-6976-4c10-9cd2-6852f96598e1,Paper Map,2017-12-8T15:0:20Z,"41.0287265778,-93.78656768795","ENVELOPE(-94.0151672363, -93.5579681396, 41.1613349915, 40.8961181641)",1902
429bff87-9f2b-43a6-9b18-a89ab83dac6e,"Atlas of Greene County, Iowa, 1918","(The Jefferson Bee, 1918, Atlas of Greene County, Iowa); 1 l.: b&w.; 31 X 37 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,The Jefferson Bee,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12623""}",Iowa Counties Historic Atlases,1918,1918,"Greene County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4859214|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12623,429bff87-9f2b-43a6-9b18-a89ab83dac6e,Paper Map,2017-12-8T15:0:20Z,"42.0353527069,-94.39754867555","ENVELOPE(-94.6302261353, -94.1648712158, 42.2090911865, 41.8616142273)",1918
7ca2a074-20e9-4c41-ab8d-9be043c57abf,"Standard Atlas of Bremer County, Iowa, 1917","(Geo. A. Ogle & Co., 1917, Standard Atlas of Bremer County, Iowa); 1 atlas.: b&w.; 39 X 47 cm. Material in the public domain. No restrictions on use. State Historical Society of Iowa (Iowa City)",Public,JPEG,eng,Image,Geo. A. Ogle & Co.,,Atlases|Real property|Land ownership,Iowa,"{""http://schema.org/url"":""http://digital.lib.uiowa.edu/cdm/ref/collection/atlases/id/12604""}",Iowa Counties Historic Atlases,1917,1917,"Bremer County, Iowa, United States|Iowa, United States",http://sws.geonames.org/4849288|http://sws.geonames.org/4862182,http://digital.lib.uiowa.edu/utils/getthumbnail/collection/atlases/id/12604,7ca2a074-20e9-4c41-ab8d-9be043c57abf,Paper Map,2017-12-8T15:0:20Z,"42.7734680176,-92.3189277649","ENVELOPE(-92.5553970337, -92.0824584961, 42.9062576294, 42.6406784058)",1917
